0	J-Pradda's ft.Katya Soul
1	Michael Hewitt
2	Zaac Pick
3	Kanye West Ft.Jamie Foxx
4	Reflekt feat. Delline Bass
5	Here We Go Magic
6	Everything Is Made in China
7	Purfles
8	Sunstroke Project & Olia Tira
9	Larsec
10	All For Nothing
11	Ty Segall & White Fence
12	SayWeCanFly
13	Dash Berlin feat. Emma Hewitt
14	Mandy Moore, Jonathan Foreman
15	Vengeance
16	Группа Дети
17	02.White House Records ft. Buszu, Sitek, DonGURALesko
18	Pzychobitch
19	EMBRZ
20	Анна Седокова
21	Divided By Friday
22	Larry Williams & Johnny Watson
23	Attention Deficit
24	Alvarius B.
25	Cold Blue & Del Mar
26	Tahiti 80
27	Closeminded
28	M-3ox feat. Heidrun vs. Aruna
29	John Lord Fonda
30	Abominable Putridity
31	Menahan Street Band
32	Martin Gabriel
33	Elijah Blake
34	Twisted Sister
35	Burden Of Grief
36	Busta Rhymes
37	Disney Dudez
38	War from a Harlots Mouth
39	Shiri Maimon
40	Futura Nostra
41	Bjørn Eidsvåg
42	Toshio Masuda
43	Shwayze
44	Euphorica
45	ylex
46	12012
47	Trampled by Turtles
48	Kalle (SMAK)
49	Container 90
50	Niagara
51	Tulipa Ruiz
52	KAJIURA Yuki
53	A.Cian
54	The Pretty Things
55	TMK aka Piekielny x Miuosh x Pyskaty x Skor
56	Jakob Thiesen
57	Shantel
58	Footnotes
59	Chimarruts
60	Katanga
61	/rif
62	Bob Marley vs. Stevie Wonder
63	Michel Polnareff
64	Jewelz
65	Feathers
66	Ginger
67	Surfer Blood
68	Wheatus
69	swampyboy + corecontax
70	Chris Wonderful
71	Hilmar Örn Hilmarsson & Sigur Rós
72	The Beatles Recovered Band
73	Golden Boy
74	בכל פעם שאני מתאהב (בך מחדש)
75	Gerry Rafferty
76	Ormstunge
77	Say Anything
78	Divinyls
79	Angela Lansbury/Dave Tomlinson
80	Tucandeo
81	Spaarkey
82	The Head and the Heart
83	Fort Minor Feat. Holly Brook & Jonah Matranga
84	Vinterland
85	Marc-Alexandre
86	Aaron Camz & Alana Aldea
87	SPM
88	Deep night club
89	Rayman 3
90	The Mission
91	Carbon Based Lifeforms
92	Aeroplane
93	Друга Ріка
94	The Expansions
95	These Monsters
96	Bosson
97	Gloria Neemt Het Letterlijk
98	Temple of the Dog
99	The Pioneers
100	sukekiyo
101	Wedard
102	Joe Esposito
103	Avicii vs. Nicky Romero - I Could Be The One (Orginal)
104	Laid Blak
105	Алла Пугачева И София Ротару
106	xQz
107	Noturnall
108	I Drive
109	Bass Drum of Death
110	Oberon
111	Clawcast Crew
112	Rachael Starr
113	October Tide
114	LC
115	Vanessa Hudgens + Zac Efron
116	Aperion
117	LP
118	The Boomtown Rats
119	Miles Davis
120	I like VIP.
121	O.V.N.I.
122	Blue Sky Black Death
123	Revolting Cocks
124	Gusto
125	Q-Lab
126	L7
127	L5
128	Stephen Kovacevich
129	Natali Felicia
130	Blumentopf
131	Dennis Sheperd feat. Molly Bancroft
132	Кино
133	B.O.B.O.
134	Rabot Hadrahim דניאל סלומון ודנה עדיני
135	Love And Fate
136	Red Light District
137	RedRoom
138	Yearning
139	São Vicente feat. Marlene
140	Don Carlos
141	.and sex in the mini country.
142	The Funkees
143	Poparzeni Kawą Trzy
144	Scott Grooves
145	Abörted Hitler Cöck
146	Satyrasis
147	the casanova playboys
148	Thought Crusade
149	Franky Lee
150	DJ Smash ft. Timati
151	Rachel Unthank & The Winterset
152	An Anecdote
153	XXYYXX
154	Sleep Songs with Nature Sounds
155	Nana Mouskouri & Donovan
156	Atari Kousuke
157	Libera
